OBJECTID,X,Y,Area,Demand
193,29.085287016,40.957218195,0.0,108.107543945
194,29.079665915,40.957157109,0.0,119.273194313
195,29.083075228,40.95701992,0.0,76.6364984513
196,29.086938833,40.957317162,0.0,73.5482435227
197,29.091249308,40.957082798,0.0,69.2479782105
198,29.094706364,40.956886302,0.0,89.6003799437
199,29.099440711,40.957725869,0.0,191.997703552
200,29.097260037,40.957437028,0.0,131.45990324
201,29.074030114,40.957853253,0.0,39.8167443275
202,29.077648014,40.958519539,0.0,118.555630684
203,29.083370133,40.95803617,0.0,127.631561279
204,29.087082647,40.957916131,0.0,73.4111680985
205,29.091249308,40.957916131,0.0,70.7012872695
206,29.09541597,40.957916131,0.0,139.99127388
207,29.098660144,40.958675302,0.0,194.150432587
208,29.103379707,40.957106711,0.0,198.244691849
209,29.084629228,40.958496155,0.0,112.798075199
210,29.075372471,40.95852082,0.0,99.719130516
211,29.08119488,40.957623387,0.0,125.948084831
212,29.082704777,40.959281055,0.0,82.142917633
213,29.087915979,40.958749463,0.0,68.1080579758
214,29.092082641,40.958749463,0.0,126.779183388
215,29.096249303,40.958749463,0.0,250.328857422
216,29.100699806,40.959070991,0.0,157.452913284
217,29.104675023,40.958958791,0.0,300.307847977
218,29.108823205,40.959028567,0.0,83.3857326508
219,29.073233901,40.959519919,0.0,100.768639565
220,29.077248233,40.959520276,0.0,64.6036186218
221,29.080938512,40.959182674,0.0,185.452002525
222,29.085415982,40.959582795,0.0,182.784990311
223,29.089582644,40.959582795,0.0,74.1858444215
224,29.093749306,40.959582795,0.0,138.89222908
225,29.098341731,40.95968997,0.0,216.569944382
226,29.102082629,40.959582795,0.0,214.002634048
227,29.106249291,40.959582795,0.0,189.67722702
228,29.094415971,40.959916128,0.0,162.877789021
229,29.074227858,40.960505439,0.0,108.043251991
230,29.079115953,40.960076744,0.0,127.199030876
231,29.083235308,40.960380403,0.0,142.867555618
232,29.087082647,40.960416128,0.0,133.623211861
233,29.091249308,40.960416128,0.0,133.117601395
234,29.09541597,40.960416128,0.0,209.830062866
235,29.099286963,40.960806864,0.0,221.22473526
236,29.103546021,40.960248669,0.0,109.227300644
237,29.107897477,40.961379009,0.0,84.6215991975
238,29.072423275,40.961192301,0.0,50.7063174247
239,29.076639609,40.961365563,0.0,113.133026123
240,29.080546082,40.961052977,0.0,145.34969902
241,29.084467154,40.961445698,0.0,198.625400543
242,29.088749311,40.96124946,0.0,84.5994758605
243,29.092915973,40.96124946,0.0,90.0114116668
244,29.097082635,40.96124946,0.0,228.185050964
245,29.100584041,40.961054094,0.0,166.794176102
246,29.104750703,40.961444826,0.0,195.717578888
247,29.085322782,40.962011108,0.0,112.198613167
248,29.073749329,40.962082792,0.0,109.744151116
249,29.077915991,40.962082792,0.0,181.91618824
250,29.081472834,40.962026974,0.0,98.881389618
251,29.086249314,40.962082792,0.0,194.262319565
252,29.090415976,40.962082792,0.0,86.639137268
253,29.094582638,40.962082792,0.0,112.057556152
254,29.097915967,40.962082792,0.0,128.196985245
255,29.102821802,40.96162229,0.0,108.595825195
256,29.106249291,40.962082792,0.0,195.579572677
257,29.061483987,40.962750369,0.0,30.611395836
258,29.066325174,40.96304187,0.0,42.0924696922
259,29.07056811,40.963076165,0.0,53.7455377578
260,29.075415994,40.962916125,0.0,66.4249925612
261,29.078661865,40.963000505,0.0,141.656805992
262,29.083807065,40.963155965,0.0,149.648971558
263,29.087915979,40.962916125,0.0,139.494174957
264,29.092082641,40.962916125,0.0,96.1981315612
265,29.096249303,40.962916125,0.0,223.22595787
266,29.099917022,40.962692855,0.0,159.183177948
267,29.104970692,40.963292892,0.0,152.238088608
268,29.058834062,40.964058101,0.0,86.032883644
269,29.0642572,40.963629428,0.0,53.6705493927
270,29.068249772,40.963658007,0.0,64.4403162002
271,29.072915997,40.963749457,0.0,131.779911041
272,29.077082658,40.963749457,0.0,142.803413391
273,29.080931707,40.963793064,0.0,96.6848068237
274,29.085415982,40.963749457,0.0,108.877428055
275,29.089582644,40.963749457,0.0,119.191560745
276,29.093749306,40.963749457,0.0,178.5025177
277,29.097915967,40.963749457,0.0,119.360235214
278,29.103745769,40.964502979,0.0,203.874555588
279,29.085915981,40.96408279,0.0,77.2463035583
280,29.061134351,40.964382744,0.0,93.06494236
281,29.063749341,40.964582789,0.0,65.8136892318
